SNo,latitude,longitude,state,code,name,address,division
1151,12.95409,78.259747,Karnataka,OGM,Oorgaum,"KGF, Karnataka",
1155,15.03195,76.85271,Andhra Pradesh,OBM,Obalapuram,"Bellary-Hiriyur Rd, Andhra Pradesh",
1196,12.5019534,76.75208323,Karnataka,BDRL,BYADARAHALLI,"State Highway 17, Karnataka",
1197,12.51062093,76.82957502,Karnataka,Y,YELIYUR,"Bangalore-Mysore Rd, Karnataka",
1263,14.04849031,75.45828601,Karnataka,HNHL,Harnahalli,"Harnahalli, Karnataka",
1303,15.308524,76.335537,Karnataka,MRB,MUNIRABAD,"Munirabad, Karnataka",
1313,12.73127246,75.55761503,Karnataka,SBHR,Subrahmanya Road,"Nettana Railway Station, Karnataka",
1351,12.514891,78.027508,Tamil Nadu,RYC,Rayakkottai,"Hosur- Dharmapuri Highway, Tamil Nadu",
1386,14.35894762,75.99878145,Karnataka,HNH,HANUMANAHALLI,"Hiretogaleri, Karnataka",
1387,13.270203,76.760983,Karnataka,SPGR,SAMPIGE ROAD,"Tumkur, Karnataka",
1393,15.203137,76.663924,Karnataka,TNGL,TORANAGALLU,"Toranagallu, Karnataka",
1394,15.43003605,75.31936155,Karnataka,SVHE,SISVINHALLI,"Dharwad, Karnataka",
1418,13.647065,75.939298,Karnataka,SPV,Sivapur,"Bangalore Honavar Rd, Karnataka",
1419,14.142728,75.154712,Karnataka,SRF,Sagar Jambagaru,"Sagar, Karnataka",
1430,15.891068,74.593121,Karnataka,SXB,SAMBRE,"Belagavi, Karnataka",
1448,17.393191,75.975729,Maharashtra,TVL,TADWAL,"Mundhewadi, Maharashtra",
1463,13.86327375,76.13323312,Karnataka,HSD,HOSDURGA ROAD,"Nilagiri Rd, Karnataka",
1470,15.236109,76.490876,Karnataka,PKL,PAPINAYAKNAHALI,"Bellary, Karnataka",
1504,13.166876,77.606186,Karnataka,TLS,Bettahalsoor,"Bengaluru, Karnataka",
1527,13.264571,76.7114857,Karnataka,AMSA,AMMASANDRA,"Tumkur, Karnataka",
1536,13.32831,77.73159,Karnataka,VTE,Venkatagiri Kote Halt,"National Highway 7, Karnataka",
1545,12.273762,76.635315,Karnataka,AP,ASHOKAPURAM,"Mysore, Karnataka",
1600,12.714668,75.443085,Karnataka,YDM,Yedamangala,"Panja Kadaba Rd, Karnataka",
1639,15.41179212,75.09820837,Karnataka,AGL,AMARGOL,"Hubli, Karnataka",
1656,12.512857,76.391729,Karnataka,ARNH,Arjunahalli,"Arjunahalli, Karnataka",
1670,12.0755655,76.74904447,Karnataka,BDV,BADANAVALU,"Nanjungudu-Chamarajanagara Rd, Karnataka",
1703,13.073539,77.506341,Karnataka,BAW,CHIK BANAVAR,"Bengaluru, Karnataka",
1706,14.073324,75.209164,Karnataka,ANF,Anandapuram,"Anandapuram, Karnataka",
1720,15.389334,73.849937,Goa,DBM,DABOLIM,"Mormugao, Goa",
1760,13.299092,77.726679,Karnataka,AVT,Avati,"Avati, Karnataka",
1772,14.250321,76.566376,Karnataka,BAHI,Balenahalli,"State Highway 48, Karnataka",
1816,11.990316,76.861228,Karnataka,BDGP,BADANAGUPPE,"SH 57, Karnataka",
1823,15.8492433,74.5095639,Karnataka,BGM,BELGAUM,"Belgaum, Karnataka",
1826,12.9786413,78.24197815,Karnataka,BEML,BEML Nagar,"KGF, Karnataka",
1829,16.8310603,75.7400012,Karnataka,BJP,BIJAPUR,"Bijapur, Karnataka",
1848,13.14380344,76.22935519,Karnataka,BGPA,Bageshapura,"Bageshapura, Karnataka",
1897,13.502322,76.023514,Karnataka,BLKR,BALLEKERE HALT,"National Highway 206, Karnataka",
1900,12.38569868,76.58870326,Karnataka,BLGA,Belagula,"Belagula, Karnataka",
1914,14.243859,76.554391,Karnataka,BNHL,Bellenahalli,"Chitradurga, Karnataka",
1966,13.00148,77.6184701,Karnataka,BNCE,BANGALORE EAST,"Bengaluru, Karnataka",
2065,13.265332,76.659317,Karnataka,BSN,BANASANDRA,"SH19, Karnataka",
2069,16.47986853,75.82814753,Karnataka,BSRX,BAGEVADI RD,"Bagevadi, Karnataka",
2173,12.98251226,75.99049337,Karnataka,ALUR,Alur Halt,"Hassan - Alur Rd, Karnataka",
2191,15.44947863,74.57136413,Karnataka,DEV,DEVARAYI,"State Highway 34, Karnataka",
2280,13.08842214,76.2042468,Karnataka,DUH,Dudda,"Dudda, Karnataka",
2283,12.90404781,75.73412168,Karnataka,DOGL,Donigal,"Mangalore - Bangalore Hwy, Karnataka",
2318,15.31333714,74.31403358,Karnataka,DWF,DUDH SAGAR WATER FALLS,"National Highway 4A, Karnataka",
2511,15.54311556,74.47936742,Karnataka,GNJ,GUNJI,"Belagavi, Karnataka",
2513,16.2407189,74.75982295,Karnataka,GPB,GHATPRABHA,"Ghatprabha, Karnataka",
2545,15.286807,76.38578,Karnataka,HPT,HOSPET JN,"Hospet, Karnataka",
2549,15.81959,75.646461,Karnataka,HLAR,HOLE ALUR,"Badami Rd, Karnataka",
2560,12.565639,76.979837,Karnataka,HNK,HANAKERE,"Mandya, Karnataka",
2573,12.297418,78.072073,Tamil Nadu,PCV,Palakkodu,"Dharmapuri, Tamil Nadu",
2574,12.57045962,76.36181943,Karnataka,HAH,Hosa Agrahara,"Hosa Agrahara, Karnataka",
2576,17.211289,75.919616,Karnataka,IDR,INDI ROAD,"Bijapur, Karnataka",
2597,15.335637,76.291469,Karnataka,HTNL,HITNAL,"National Highway 63, Karnataka",
2598,12.8482855,77.41841687,Karnataka,HJL,HEJJALA,"Bengaluru, Karnataka",
2600,14.7943,75.410686,Karnataka,HVR,HAVERI,"Haveri, Karnataka",
2602,13.341342,77.048296,Karnataka,HEI,HEGGERE HALT,"Heggere, Karnataka",
2603,13.28157594,77.18876395,Karnataka,HHL,HIREHALI,"NH 4, Karnataka",
2611,14.222474,76.336804,Karnataka,HLV,Haliyuru,"State Highway 48, Karnataka",
2617,12.479685,76.394664,Karnataka,HPA,Hampapura,"Hampapura, Karnataka",
2625,15.70792852,74.5181454,Karnataka,IDJ,IDALHOND,"Garlgunj - Idalhond Rd, Karnataka",
2635,15.845019,75.650291,Karnataka,JAK,Jakanur,"Badami Rd, Karnataka",
2710,16.530215,75.811482,Karnataka,KDGI,KUDGI,"NH 13, Karnataka",
2717,15.459597,74.875061,Karnataka,KBI,KAMBRGANVI,"State Highway 34, Karnataka",
